,Years,Country,Capital,Latitude,Longditude,Percent_of_Health_Spending,Percent_of_GDP,USD_per_Capita,Total_Spending_in_Millions_USD
922,1994,TUR,Ankara,39.93333333,32.866667,31.628,0.83,75.335,4336.59
923,1999,TUR,Ankara,39.93333333,32.866667,27.339,1.221,100.371,6251.84
924,2000,TUR,Ankara,39.93333333,32.866667,27.806,1.285,118.272,7479.54
925,1970,GBR,London,51.5,-0.083333,15.819,0.628,22.406,1247.19
926,1971,GBR,London,51.5,-0.083333,15.992,0.642,24.816,1387.12
927,1972,GBR,London,51.5,-0.083333,15.6,0.638,26.713,1498.23
928,1973,GBR,London,51.5,-0.083333,15.005,0.603,28.318,1591.32
929,1974,GBR,London,51.5,-0.083333,14.959,0.695,34.671,1949.55
930,1975,GBR,London,51.5,-0.083333,12.706,0.627,33.655,1892.28
931,1976,GBR,London,51.5,-0.083333,13.111,0.649,37.833,2126.67
932,1977,GBR,London,51.5,-0.083333,13.654,0.662,41.998,2360.01
933,1978,GBR,London,51.5,-0.083333,13.849,0.665,47.027,2642.75
934,1979,GBR,London,51.5,-0.083333,13.627,0.646,51.289,2884.85
935,1980,GBR,London,51.5,-0.083333,13.528,0.685,58.008,3266.68
936,1981,GBR,London,51.5,-0.083333,13.383,0.707,64.956,3659.22
937,1982,GBR,London,51.5,-0.083333,14.488,0.742,73.881,4160.51
938,1983,GBR,London,51.5,-0.083333,14.289,0.76,81.975,4617.89
939,1984,GBR,London,51.5,-0.083333,15.156,0.794,90.486,5105.41
940,1985,GBR,London,51.5,-0.083333,15.008,0.771,94.335,5334.67
941,1986,GBR,London,51.5,-0.083333,15.07,0.772,99.163,5620.7
942,1987,GBR,London,51.5,-0.083333,14.468,0.749,103.709,5890.88
943,1988,GBR,London,51.5,-0.083333,14.664,0.746,112.847,6424.19
944,1989,GBR,London,51.5,-0.083333,14.777,0.744,119.66,6829.8
945,1990,GBR,London,51.5,-0.083333,14.485,0.737,123.408,7064.81
946,1991,GBR,London,51.5,-0.083333,14.7,0.806,137.486,7895.12
947,1992,GBR,London,51.5,-0.083333,15.092,0.896,156.32,9000.97
948,1993,GBR,London,51.5,-0.083333,15.52,0.932,170.23,9825.44
949,1994,GBR,London,51.5,-0.083333,15.948,0.969,187.466,10847.86
950,1995,GBR,London,51.5,-0.083333,16.126,0.913,184.328,10694.53
951,1996,GBR,London,51.5,-0.083333,16.546,0.935,201.152,11700.4
952,1997,GBR,London,51.5,-0.083333,16.925,0.935,212.206,12375.21
953,2013,GBR,London,51.5,-0.083333,12.185,1.201,468.513,30044.91
954,2014,GBR,London,51.5,-0.083333,12.049,1.181,480.649,31056.25
955,2015,GBR,London,51.5,-0.083333,12.057,1.191,497.394,32394.7
956,2000,USA,"Washington, D.C.",38.883333,-77.0,11.365,1.421,518.109,146190.88
957,2001,USA,"Washington, D.C.",38.883333,-77.0,11.729,1.545,575.975,164134.99
958,2002,USA,"Washington, D.C.",38.883333,-77.0,12.075,1.686,643.351,185043.96
959,2003,USA,"Washington, D.C.",38.883333,-77.0,12.327,1.782,707.226,205171.87
960,2004,USA,"Washington, D.C.",38.883333,-77.0,12.505,1.818,762.271,223196.99
961,2005,USA,"Washington, D.C.",38.883333,-77.0,12.471,1.814,803.701,237506.99
962,2006,USA,"Washington, D.C.",38.883333,-77.0,12.725,1.866,866.302,258487.11
963,2007,USA,"Washington, D.C.",38.883333,-77.0,12.641,1.884,905.301,272704.91
964,2008,USA,"Washington, D.C.",38.883333,-77.0,12.399,1.896,917.815,279102.0
965,2009,USA,"Washington, D.C.",38.883333,-77.0,12.331,2.015,946.894,290480.12
966,2010,USA,"Washington, D.C.",38.883333,-77.0,11.938,1.957,946.859,292909.12
967,2011,USA,"Washington, D.C.",38.883333,-77.0,11.855,1.939,965.58,300935.91
968,2012,USA,"Washington, D.C.",38.883333,-77.0,11.459,1.874,964.237,302768.85
969,2013,USA,"Washington, D.C.",38.883333,-77.0,11.384,1.858,980.864,310154.01
970,2014,USA,"Washington, D.C.",38.883333,-77.0,11.968,1.981,1081.402,344495.16
971,2015,USA,"Washington, D.C.",38.883333,-77.0,12.227,2.068,1162.399,373009.91
972,1999,EST,Tallinn,59.43333333,24.716667,19.973,1.139,95.332,132.53
973,2000,EST,Tallinn,59.43333333,24.716667,22.79,1.177,110.803,154.79
974,2001,EST,Tallinn,59.43333333,24.716667,25.52,1.222,126.176,175.15
975,2002,EST,Tallinn,59.43333333,24.716667,27.158,1.285,148.975,205.49
976,2003,EST,Tallinn,59.43333333,24.716667,24.654,1.204,157.352,215.69
977,2004,EST,Tallinn,59.43333333,24.716667,25.539,1.301,187.682,255.73
978,2005,EST,Tallinn,59.43333333,24.716667,24.026,1.191,196.655,266.42
979,2006,EST,Tallinn,59.43333333,24.716667,23.76,1.169,225.173,303.27
980,2007,EST,Tallinn,59.43333333,24.716667,21.745,1.093,240.063,321.85
981,2008,EST,Tallinn,59.43333333,24.716667,18.788,1.081,244.933,327.5
982,2009,EST,Tallinn,59.43333333,24.716667,19.983,1.307,268.334,358.1
983,2010,EST,Tallinn,59.43333333,24.716667,20.458,1.296,280.186,373.06
984,2011,EST,Tallinn,59.43333333,24.716667,19.87,1.157,283.959,376.94
985,2012,EST,Tallinn,59.43333333,24.716667,20.15,1.174,305.562,404.17
986,2013,EST,Tallinn,59.43333333,24.716667,19.327,1.164,319.351,420.9
987,2014,EST,Tallinn,59.43333333,24.716667,18.703,1.162,331.543,435.83
988,2015,EST,Tallinn,59.43333333,24.716667,18.22,1.187,343.486,451.82
989,2002,SVN,Ljubljana,46.05,14.516667,22.091,1.766,358.67,715.38
990,2003,SVN,Ljubljana,46.05,14.516667,21.213,1.714,362.285,723.02
991,2004,SVN,Ljubljana,46.05,14.516667,21.234,1.683,383.638,766.13
992,2005,SVN,Ljubljana,46.05,14.516667,21.305,1.697,406.336,812.86
993,2006,SVN,Ljubljana,46.05,14.516667,21.146,1.65,425.293,853.51
994,2007,SVN,Ljubljana,46.05,14.516667,20.077,1.505,415.215,837.95
995,2008,SVN,Ljubljana,46.05,14.516667,19.07,1.497,443.436,896.32
996,2009,SVN,Ljubljana,46.05,14.516667,19.75,1.691,465.075,948.6
997,2010,SVN,Ljubljana,46.05,14.516667,19.847,1.699,472.268,967.48
998,2011,SVN,Ljubljana,46.05,14.516667,19.633,1.677,482.969,991.46
999,2012,SVN,Ljubljana,46.05,14.516667,20.247,1.767,509.632,1048.39
1000,2013,SVN,Ljubljana,46.05,14.516667,20.358,1.783,526.46,1084.48
1001,2014,SVN,Ljubljana,46.05,14.516667,18.606,1.589,492.577,1015.68
1002,2015,SVN,Ljubljana,46.05,14.516667,18.33,1.566,500.567,1032.94
1003,2006,ISR,Jerusalem,31.76666667,35.233333,13.293,0.923,236.833,1670.55
1004,2007,ISR,Jerusalem,31.76666667,35.233333,13.57,0.938,257.901,1851.75
1005,2008,ISR,Jerusalem,31.76666667,35.233333,13.389,0.937,256.823,1877.07
1006,2009,ISR,Jerusalem,31.76666667,35.233333,13.974,0.991,272.317,2038.46
1007,2010,ISR,Jerusalem,31.76666667,35.233333,13.577,0.957,276.113,2104.98
1008,2011,ISR,Jerusalem,31.76666667,35.233333,13.388,0.938,286.345,2223.7
1009,2012,ISR,Jerusalem,31.76666667,35.233333,13.213,0.941,298.796,2363.63
1010,2013,ISR,Jerusalem,31.76666667,35.233333,12.924,0.915,313.203,2524.26
1011,2004,LVA,Riga,56.95,24.1,23.68,1.475,180.294,408.03
1012,2005,LVA,Riga,56.95,24.1,22.548,1.321,182.984,409.66
1013,2006,LVA,Riga,56.95,24.1,23.176,1.33,209.574,464.91
1014,2007,LVA,Riga,56.95,24.1,26.523,1.53,277.258,610.06
1015,2008,LVA,Riga,56.95,24.1,21.484,1.209,234.848,511.34
1016,2009,LVA,Riga,56.95,24.1,24.354,1.499,253.112,542.08
1017,2010,LVA,Riga,56.95,24.1,25.794,1.586,279.009,585.24
1018,2011,LVA,Riga,56.95,24.1,26.092,1.454,287.478,592.12
1019,2012,LVA,Riga,56.95,24.1,25.519,1.383,293.962,598.01
1020,2013,LVA,Riga,56.95,24.1,26.284,1.419,321.85,647.77
1021,2014,LVA,Riga,56.95,24.1,26.845,1.473,351.889,701.59
1022,2015,LVA,Riga,56.95,24.1,26.761,1.542,383.852,759.08
1023,2004,LTU,Vilnius,54.68333333,25.316667,33.914,1.867,243.511,822.35
1024,2005,LTU,Vilnius,54.68333333,25.316667,34.341,1.937,281.439,935.09
1025,2006,LTU,Vilnius,54.68333333,25.316667,30.993,1.809,298.436,975.86
1026,2007,LTU,Vilnius,54.68333333,25.316667,28.47,1.639,312.933,1011.18
1027,2008,LTU,Vilnius,54.68333333,25.316667,26.126,1.643,340.758,1089.82
1028,2009,LTU,Vilnius,54.68333333,25.316667,26.661,1.961,356.225,1126.71
1029,2010,LTU,Vilnius,54.68333333,25.316667,26.716,1.821,366.563,1135.35
1030,2011,LTU,Vilnius,54.68333333,25.316667,26.038,1.692,386.589,1170.64
1031,2012,LTU,Vilnius,54.68333333,25.316667,28.942,1.82,448.728,1340.7
1032,2013,LTU,Vilnius,54.68333333,25.316667,28.173,1.728,461.178,1364.02
1033,2014,LTU,Vilnius,54.68333333,25.316667,27.836,1.724,485.245,1422.92
1034,2015,LTU,Vilnius,54.68333333,25.316667,26.784,1.745,504.422,1465.3
1035,2015,RUS, Moscow,55.751244,37.618423,22.939,1.286,309.9,44655.62
